target,metric,pairs,off_median,off_iqr,on_median,on_iqr,median_difference_on_minus_off,wilcoxon_statistic,wilcoxon_p_value,cliffs_delta_on_vs_off
ALL,solved_total_guesses,7,633.0,339.0,271.0,145.0,-254.0,1.0,0.03125,-0.7959183673469388
ALL,best_rank,15,1.0,7.0,1.0,6.0,0.0,9.0,0.20757844233562428,-0.10666666666666667
ALL,generations,15,41.0,21.0,18.0,42.0,-11.0,14.0,0.0497722554312802,-0.35555555555555557
herbaceous,solved_total_guesses,4,679.0,131.5,227.5,220.5,-433.5,0.0,0.125,-1.0
herbaceous,best_rank,5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-0.2
herbaceous,generations,5,41.0,17.0,8.0,10.5,-28.0,0.0,0.0625,-1.0
notorious,solved_total_guesses,0,,,,,,,,
notorious,best_rank,5,8.0,64.0,7.0,5.5,-3.0,3.0,0.3125,-0.36
notorious,generations,5,50.0,16.0,50.0,6.5,0.0,1.0,1.0,0.04
superficial,solved_total_guesses,3,363.0,345.0,337.0,87.0,-92.0,1.0,0.5,-0.3333333333333333
superficial,best_rank,5,1.0,6.0,1.0,4.0,0.0,1.0,1.0,-0.04
superficial,generations,5,29.0,31.5,12.0,25.5,-4.0,5.0,0.625,-0.4
